header1,header2,data length,command,control,normal r,normal l,sut,suu,sdt,sdu,Area,Special flag,max speed,min speed,Target X,Target Y,Target YW,Current X,Current Y,Current YW,P ,I ,D ,Gain,dcct,dav,dacv,condition,End command,Target end command,traffic,remote cf,reveres,delay,P ,I ,D ,Gain
AA,55,57,1,1,700,700,1,20,1,20,2,3,40,40,55900,0,-89000,,,,12,0,6,3,10,20,0,2,2,202500,0,0,0,0,1,0,0,0
AA,55,57,1,1,2000,2000,2,20,2,20,2,3,40,40,56000,0,-89000,,,,12,0,6,3,10,20,0,2,2,201000,0,0,0,0,1,0,0,0
AA,55,57,1,1,2000,2000,2,20,2,20,2,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,176000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1000,1000,2,20,2,20,2,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,173000,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,2,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,172000,0,1,0,0,1,0,0,0
AA,55,57,1,1,1200,1200,1,20,1,20,3,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,169000,0,0,0,0,1,0,0,0
AA,55,57,1,1,800,800,1,20,1,20,3,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,168000,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,3,3,40,40,56100,0,-89000,,,,12,0,6,3,10,20,0,2,2,167100,0,0,0,0,1,0,0,0
AA,55,57,3,0,600,800,1,20,1,20,4,3,40,40,8470,0,-89000,,,,12,0,6,3,10,20,0,2,3,-110000,0,0,0,0,1,0,0,0
AA,55,57,1,3,700,700,1,20,1,20,4,3,40,40,80000,0,-131000,,,,12,0,6,3,10,20,0,2,1,54800,0,0,0,0,1,0,0,0
AA,55,57,1,3,1000,1000,1,20,1,20,4,3,40,40,80000,0,-131000,,,,12,0,6,3,10,20,0,2,1,52500,0,0,0,0,1,0,0,0
AA,55,57,1,3,600,600,1,20,1,20,4,3,40,40,80000,0,-131000,,,,12,0,6,3,10,20,0,2,1,51500,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,1,20,1,20,4,3,250,150,0,0,-89000,,,,12,0,6,3,10,20,0,1,3,-115000,0,0,0,0,1,0,0,0
AA,55,57,4,0,800,600,1,20,1,20,4,3,250,150,0,0,-89000,,,,12,0,6,3,10,20,0,1,3,-115000,0,0,0,0,1,0,0,0
AA,55,57,1,1,700,700,1,20,1,20,4,3,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,158500,0,0,0,0,1,0,0,0
AA,55,57,1,1,1000,1000,1,20,1,20,4,3,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,157500,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,1,20,1,20,4,3,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,155300,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,1,20,1,20,4,1,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,157500,0,0,0,2,1,0,0,0
AA,55,57,1,1,500,500,1,20,1,20,4,1,40,40,52600,0,-89000,,,,12,0,6,3,10,20,0,2,2,153800,0,0,0,0,1,0,0,0
