header1,header2,data length,command,control,normal r,normal l,sut,suu,sdt,sdu,Area,Special flag,max speed,min speed,Target X,Target Y,Target YW,Current X,Current Y,Current YW,P ,I ,D ,Gain,dcct,dav,dacv,condition,End command,Target end command,traffic,remote cf,reverse ,delay,P ,I ,D ,Gain
AA,55,57,1,1,300,300,2,5,2,5,3,0,40,40,56200,0,92000,,,,3,0,1,3,10,20,0,1,2,231300,0,0,0,0,1,0,0,0
AA,55,57,1,1,200,200,2,5,2,5,3,0,40,40,56200,0,92000,,,,3,0,1,3,10,20,0,1,2,232500,0,0,0,0,1,0,0,0
AA,55,57,1,1,150,150,2,5,2,5,3,0,40,40,56200,0,92000,,,,3,0,1,3,10,20,0,1,2,232670,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,2,5,2,5,3,0,40,40,56200,0,92000,,,,3,0,1,3,10,20,0,1,2,232670,0,0,0,1,1,0,0,0
AA,55,57,4,0,100,-100,0,0,0,0,4,1,3,3,53350,0,-91000,,,,3,0,1,3,0,20,0,1,3,-179000,0,0,0,0,1,0,0,0
AA,55,57,4,0,100,-100,0,0,0,0,4,1,3,3,53350,0,-91000,,,,3,0,1,3,0,20,0,2,3,-178000,0,0,0,0,1,0,0,0
AA,55,57,4,0,0,0,0,0,0,0,4,1,3,3,53350,0,-91000,,,,3,0,1,3,0,20,0,1,1,0,0,0,0,2,1,0,0,0
AA,55,57,2,2,100,100,0,0,0,0,7,1,5,5,80000,230250,180000,,,,3,0,1,3,0,20,0,1,1,53400,0,0,0,0,1,0,0,0
AA,55,57,2,2,0,0,0,0,0,0,7,1,5,5,80000,230250,180000,,,,3,0,1,3,0,20,0,1,1,50000,0,0,0,1,1,0,0,0
AA,55,57,2,2,100,100,0,0,0,0,7,1,5,5,54800,230250,180000,,,,3,0,1,1,0,20,0,1,1,54800,0,0,0,0,1,0,0,0
AA,55,57,2,2,90,90,0,0,0,0,7,1,5,5,54800,230250,180000,,,,3,0,1,1,0,20,0,1,1,55000,0,0,0,0,1,0,0,0
AA,55,57,2,2,0,0,2,5,2,5,7,3,5,5,54800,230250,180000,,,,3,0,1,1,0,20,0,1,1,50000,0,0,0,3,1,0,0,0
AA,55,57,2,2,0,0,2,5,2,5,7,7,5,5,54800,230250,180000,,,,3,0,1,1,0,20,0,1,1,50000,0,0,12,0,1,0,0,0
AA,55,57,1,2,200,200,2,5,1,5,7,0,40,40,80000,230250,180000,,,,3,0,1,1,10,20,0,2,1,54000,0,0,0,0,1,0,0,0
AA,55,57,1,2,0,0,2,5,2,5,1,0,3,3,80000,230250,180000,,,,3,0,1,1,15,20,0,2,1,54000,0,0,0,1,1,0,0,0
AA,55,57,3,0,-100,100,0,0,0,0,4,1,3,3,53350,230250,-91000,,,,3,0,1,3,15,20,0,1,2,231000,0,0,0,0,1,0,0,0
AA,55,57,3,0,-100,100,0,0,0,0,4,1,3,3,53350,230250,-91000,,,,3,0,1,3,15,20,0,2,3,100000,0,0,0,0,1,0,0,0
AA,55,57,3,0,0,0,0,0,0,0,4,1,3,3,53350,230250,-91000,,,,3,0,1,3,15,20,0,1,1,0,0,0,0,2,1,0,0,0
AA,55,57,2,1,300,300,1,5,2,5,3,1,20,20,55990,230250,92000,,,,3,0,1,3,10,20,0,2,2,231000,0,0,0,0,1,0,0,0
AA,55,57,2,1,0,0,2,5,2,5,3,1,20,20,55990,230250,92000,,,,3,0,1,3,10,20,0,2,2,231000,0,0,0,2,1,0,0,0
