header1,header2,data length,command,control,normal r,normal l,sut,suu,sdt,sdu,Area,Special flag,max speed,min speed,Target X,Target Y,Target YW,Current X,Current Y,Current YW,P ,I ,D ,Gain,dcct,dav,dacv,condition,End command,Target end command,traffic,remote cf,reverse ,delay,P ,I ,D ,Gain
AA,55,57,2,2,0,0,1,40,1,40,7,4,5,5,54800,233450,180000,,,,24,0,6,3,0,20,0,2,1,40620,0,0,20,2,0,0,0,0
AA,55,57,1,2,750,750,1,40,1,40,7,1,40,40,0,233450,180000,,,,24,0,6,3,10,20,0,1,1,37150,0,0,0,0,0,0,0,0
AA,55,57,7,0,165,165,0,40,0,40,4,1,3,3,53350,0,-91000,,,,24,0,6,3,0,20,0,2,3,-77000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,40,1,40,3,0,40,40,55900,0,92000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,1,1,900,900,2,40,1,40,4,1,40,40,37270,0,92000,,,,24,0,6,3,10,20,0,2,2,233990,0,0,0,0,1,0,0,0
AA,55,57,1,1,600,600,2,40,1,40,4,1,40,40,37270,0,92000,,,,24,0,6,3,10,20,0,2,2,232900,0,0,0,0,1,0,0,0
AA,55,57,1,1,300,300,0,40,0,40,4,1,40,40,37270,0,92000,,,,24,0,6,3,10,20,0,2,2,232300,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,0,40,0,40,3,0,40,40,55900,0,92000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,8,0,180,180,0,40,0,40,4,1,3,3,53350,0,-91000,,,,24,0,6,3,0,20,0,1,3,-15000,0,0,0,0,0,0,0,0
AA,55,57,1,1,0,0,1,40,1,40,3,0,40,40,55900,0,92000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,2,3,300,300,1,40,1,40,7,0,10,10,54800,232235,0,,,,24,0,6,3,0,20,0,2,1,39800,0,0,0,0,0,0,0,0
AA,55,57,2,3,225,225,1,40,1,40,7,0,10,10,54800,232235,0,,,,24,0,6,3,0,20,0,2,1,39500,0,0,1,1,0,0,0,0
AA,55,57,1,2,900,900,2,40,2,40,7,3,40,40,0,232235,180000,,,,24,0,6,3,10,20,0,1,1,37000,0,0,0,0,0,0,0,0
AA,55,57,1,2,900,900,2,40,2,40,1,3,40,40,80000,232390,0,,,,24,0,6,3,10,20,0,1,1,37750,0,0,0,0,1,0,0,0
AA,55,57,3,0,900,1200,2,40,2,40,3,2,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,-35000,0,0,0,0,1,0,0,0
AA,55,57,3,0,900,1200,2,40,2,40,3,2,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,-65000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1050,1050,2,40,2,40,1,3,50,50,39700,0,-92000,,,,24,0,6,3,10,20,0,2,2,228000,0,0,0,0,1,0,0,0
AA,55,57,1,1,3000,3000,2,40,2,40,1,3,50,50,39700,0,-92000,,,,24,0,6,3,10,20,0,2,2,224500,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,3,40,40,39700,0,-92000,,,,24,0,6,3,10,20,0,2,2,192000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1200,1200,2,40,2,40,1,3,40,40,39700,0,-92000,,,,24,0,6,3,10,20,0,2,2,190000,0,0,0,0,1,0,0,0
AA,55,57,4,0,1800,1200,1,40,1,40,4,3,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,1,3,-60000,0,0,0,0,1,0,0,0
AA,55,57,1,3,1500,1500,2,40,2,40,2,3,40,40,80000,0,-45000,,,,4,0,6,6,10,20,0,1,1,40075,0,0,0,0,1,0,0,0
AA,55,57,1,3,900,900,2,40,2,40,2,3,40,40,80000,0,-45000,,,,4,0,6,6,10,20,0,1,1,40775,0,0,0,0,1,0,0,0
AA,55,57,3,0,900,1200,1,40,1,40,3,2,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,2,3,-80000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1050,1050,1,40,1,40,1,3,40,40,41500,0,-89000,,,,24,0,6,3,10,20,0,2,2,184500,0,0,0,0,1,0,0,0
AA,55,57,1,1,1500,1500,2,40,2,40,1,3,40,40,41500,0,-89000,,,,24,0,6,3,10,20,0,2,2,174400,0,0,0,0,1,0,0,0
AA,55,57,1,1,900,900,2,40,2,40,1,3,40,40,41500,0,-89000,,,,24,0,6,3,10,20,0,2,2,173400,0,0,0,0,1,0,0,0
AA,55,57,1,1,900,900,2,40,2,40,1,3,40,40,41500,0,-89000,,,,24,0,6,3,10,20,0,2,2,173400,0,1,0,0,1,0,0,0
AA,55,57,1,1,900,900,2,40,2,40,1,3,40,40,41500,0,-89000,,,,24,0,6,3,10,20,0,2,2,171800,0,0,0,0,1,0,0,0
AA,55,57,4,0,1200,900,1,40,1,40,4,3,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,1,3,-60000,0,0,0,0,1,0,0,0
AA,55,57,1,3,1050,1050,2,40,2,40,2,3,40,40,80000,0,-50000,,,,4,0,6,6,10,20,0,1,1,41425,0,0,0,0,1,0,0,0
AA,55,57,1,3,900,900,2,40,2,40,2,3,40,40,80000,0,-50000,,,,4,0,6,6,10,20,0,1,1,42925,0,0,0,0,1,0,0,0
AA,55,57,3,0,900,1200,1,40,1,40,3,2,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,2,3,-60000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1050,1050,2,40,2,40,3,3,40,40,43950,0,-89000,,,,24,0,6,3,10,20,0,2,2,164500,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,1,40,1,40,3,1,40,40,43950,0,-89000,,,,24,0,6,3,10,20,0,2,2,164500,0,0,0,2,1,0,0,0
AA,55,57,1,1,750,750,2,40,2,40,3,1,40,40,43950,0,-89000,,,,24,0,6,3,10,20,0,2,2,164000,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,1,40,1,40,3,1,40,40,43950,0,-89000,,,,24,0,6,3,10,20,0,2,2,161500,0,0,3,0,1,0,0,0
AA,55,57,3,0,900,1200,1,40,1,40,3,1,40,40,8470,0,-89000,,,,24,0,6,3,10,20,0,2,3,-120000,0,0,0,0,1,0,0,0
AA,55,57,1,3,1050,1050,2,40,2,40,3,1,40,40,80000,0,-140000,,,,4,0,6,6,10,20,0,2,1,41025,0,0,0,0,1,0,0,0
AA,55,57,1,3,900,900,2,40,2,40,3,1,40,40,80000,0,-140000,,,,4,0,6,6,10,20,0,2,1,40375,0,0,0,0,1,0,0,0
AA,55,57,4,0,1200,900,1,40,1,40,3,1,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,1,3,-100000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1050,1050,2,40,2,40,1,1,40,40,39850,0,-92000,,,,24,0,6,3,10,20,0,2,2,157500,0,0,0,0,1,0,0,0
AA,55,57,1,1,2250,2250,2,40,2,40,1,1,40,40,39850,0,-92000,,,,24,0,6,3,10,20,0,2,2,154500,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,1,40,40,39850,0,-92000,,,,24,0,6,3,10,20,0,2,2,152500,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,1,40,40,39870,0,-92000,,,,24,0,6,3,10,20,0,2,2,142500,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,1,40,40,39890,0,-92000,,,,24,0,6,3,10,20,0,2,2,121000,0,0,0,0,1,0,0,0
AA,55,57,1,1,900,900,2,40,2,40,1,1,40,40,39920,0,-92000,,,,24,0,6,3,10,20,0,2,2,118500,0,0,0,0,1,0,0,0
AA,55,57,4,0,1200,900,1,40,1,40,4,1,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,1,3,-60000,0,0,0,0,1,0,0,0
AA,55,57,1,3,1050,1050,2,40,2,40,5,1,40,40,80000,0,-45000,,,,4,0,6,6,10,20,0,1,1,41025,0,0,0,0,1,0,0,0
AA,55,57,1,3,900,900,2,40,2,40,5,1,40,40,80000,0,-45000,,,,4,0,6,6,10,20,0,1,1,41025,0,0,0,0,1,0,0,0
AA,55,57,3,0,900,1200,1,40,1,40,5,0,40,40,0,0,-89000,,,,24,0,6,3,10,20,0,2,3,-60000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1050,1050,2,40,2,40,3,1,40,40,42100,0,-89000,,,,24,0,6,3,10,20,0,2,2,114500,0,0,0,0,1,0,0,0
AA,55,57,1,1,750,750,2,40,2,40,3,1,40,40,42100,0,-89000,,,,24,0,6,3,10,20,0,2,2,113500,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,1,40,1,40,3,1,40,40,42100,0,-89000,,,,24,0,6,3,10,20,0,2,2,113500,0,2,0,1,1,0,0,0
AA,55,57,1,1,1200,1200,2,40,2,40,2,1,40,40,42000,0,-89000,,,,24,0,6,3,10,20,0,2,2,109500,0,0,0,0,1,0,0,0
AA,55,57,7,0,165,165,1,40,1,40,4,1,40,40,41500,0,-89000,,,,24,0,6,3,10,20,0,1,3,130000,0,0,0,0,1,0,0,0
AA,55,57,7,0,165,165,1,40,1,40,4,1,40,40,41500,0,-89000,,,,24,0,6,3,10,20,0,2,3,150000,0,0,0,0,1,0,0,0
AA,55,57,2,3,375,375,2,40,2,40,4,0,40,40,80000,0,135000,,,,4,0,6,6,10,20,0,1,1,39095,0,0,0,0,1,0,0,0
AA,55,57,7,0,180,180,1,40,1,40,4,1,40,40,41500,0,-89000,,,,24,0,6,3,10,20,0,2,3,110000,0,0,0,0,1,0,0,0
AA,55,57,1,1,0,0,0,40,0,40,3,0,40,40,55900,0,92000,,,,24,0,6,3,10,20,0,1,1,0,0,0,0,2,0,0,0,0
AA,55,57,2,3,300,300,1,40,1,40,3,0,10,10,42900,0,97000,,,,4,0,6,6,0,20,0,2,2,110100,0,0,2,0,1,0,0,0
AA,55,57,1,1,900,900,1,40,1,40,3,2,40,40,42500,0,92000,,,,24,0,6,3,10,20,0,1,2,108500,0,0,0,0,1,0,0,0
AA,55,57,4,0,1200,900,2,40,2,40,5,2,40,40,0,0,92000,,,,24,0,6,3,10,20,0,1,3,118000,0,0,0,0,1,0,0,0
AA,55,57,1,3,1050,1050,2,40,2,40,5,3,40,40,0,0,135000,,,,4,0,6,6,10,20,0,2,1,41475,0,0,0,0,1,0,0,0
AA,55,57,1,3,900,900,2,40,2,40,5,3,40,40,0,0,135000,,,,4,0,6,6,10,20,0,2,1,40725,0,0,0,0,1,0,0,0
AA,55,57,3,0,900,1200,2,40,2,40,5,2,40,40,8470,0,92000,,,,24,0,6,3,10,20,0,2,3,100000,0,0,0,0,1,0,0,0
AA,55,57,1,1,1050,1050,2,40,2,40,4,2,40,40,39700,0,92000,,,,24,0,6,3,10,20,0,1,2,114500,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,2,40,40,39700,0,92000,,,,24,0,6,3,10,20,0,1,2,137500,0,0,0,0,1,0,0,0
AA,55,57,1,1,3600,3600,2,40,2,40,1,2,40,40,39700,0,92000,,,,24,0,6,3,10,20,0,1,2,147500,0,0,0,0,1,0,0,0
AA,55,57,1,1,3000,3000,2,40,2,40,1,2,40,40,39700,0,92000,,,,24,0,6,3,10,20,0,1,2,162000,0,0,0,0,1,0,0,0
AA,55,57,1,1,360,360,2,40,2,40,1,2,40,40,39700,0,92000,,,,24,0,6,3,10,20,0,1,2,164000,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AA,55,57,1,1,2250,2250,2,30,2,30,1,2,40,40,39680,0,92000,,,,24,0,6,3,10,20,0,1,2,179000,0,0,0,0,1,0,0,0
